Title,Year,Director,Genre,Duration,Gross,Votes,Rating
The Shawshank Redemption,(1994),Frank Darabont,Drama,142 min,$28.34M,"2,777,598",9.3
The Dark Knight,(2008),Christopher Nolan,"Action, Crime, Drama",152 min,$534.86M,"2,754,377",9.0
Inception,(2010),Christopher Nolan,"Action, Adventure, Sci-Fi",148 min,$292.58M,"2,445,084",8.8
Fight Club,(1999),David Fincher,Drama,139 min,$37.03M,"2,213,195",8.8
Forrest Gump,(1994),Robert Zemeckis,"Drama, Romance",142 min,$330.25M,"2,160,221",8.8
Pulp Fiction,(1994),Quentin Tarantino,"Crime, Drama",154 min,$107.93M,"2,131,348",8.9
The Matrix,(1999),Lana Wachowski,"Action, Sci-Fi",136 min,$171.48M,"1,976,736",8.7
The Godfather,(1972),Francis Ford Coppola,"Crime, Drama",175 min,$134.97M,"1,933,740",9.2
The Lord of the Rings: The Fellowship of the Ring,(2001),Peter Jackson,"Action, Adventure, Drama",178 min,$315.54M,"1,932,546",8.8
The Lord of the Rings: The Return of the King,(2003),Peter Jackson,"Action, Adventure, Drama",201 min,$377.85M,"1,904,291",9.0
The Dark Knight Rises,(2012),Christopher Nolan,"Action, Drama, Thriller",164 min,$448.14M,"1,761,690",8.4
Se7en,(1995),David Fincher,"Crime, Drama, Mystery",127 min,$100.13M,"1,718,437",8.6
The Lord of the Rings: The Two Towers,(2002),Peter Jackson,"Action, Adventure, Drama",179 min,$342.55M,"1,718,433",8.8
Django Unchained,(2012),Quentin Tarantino,"Drama, Western",165 min,$162.81M,"1,620,087",8.4
Gladiator,(2000),Ridley Scott,"Action, Adventure, Drama",155 min,$187.71M,"1,550,714",8.5
Batman Begins,(2005),Christopher Nolan,"Action, Crime, Drama",140 min,$206.85M,"1,521,452",8.2
Inglourious Basterds,(2009),Quentin Tarantino,"Adventure, Drama, War",153 min,$120.54M,"1,510,600",8.3
The Silence of the Lambs,(1991),Jonathan Demme,"Crime, Drama, Thriller",118 min,$130.74M,"1,481,977",8.6
Saving Private Ryan,(1998),Steven Spielberg,"Drama, War",169 min,$216.54M,"1,438,735",8.6
The Avengers,(2012),Joss Whedon,"Action, Sci-Fi",143 min,$623.28M,"1,426,108",8.0
Star Wars: Episode IV - A New Hope,(1977),George Lucas,"Action, Adventure, Fantasy",121 min,$322.74M,"1,405,449",8.6
Schindler's List,(1993),Steven Spielberg,"Biography, Drama, History",195 min,$96.90M,"1,397,952",9.0
The Prestige,(2006),Christopher Nolan,"Drama, Mystery, Sci-Fi",130 min,$53.09M,"1,382,506",8.5
Shutter Island,(2010),Martin Scorsese,"Mystery, Thriller",138 min,$128.01M,"1,381,024",8.2
The Departed,(2006),Martin Scorsese,"Crime, Drama, Thriller",151 min,$132.38M,"1,370,005",8.5
Avatar,(2009),James Cameron,"Action, Adventure, Fantasy",162 min,$760.51M,"1,355,727",7.9
The Green Mile,(1999),Frank Darabont,"Crime, Drama, Fantasy",189 min,$136.80M,"1,350,040",8.6
Star Wars: Episode V - The Empire Strikes Back,(1980),Irvin Kershner,"Action, Adventure, Fantasy",124 min,$290.48M,"1,333,410",8.7
The Godfather Part II,(1974),Francis Ford Coppola,"Crime, Drama",202 min,$57.30M,"1,314,680",9.0
Memento,(2000),Christopher Nolan,"Mystery, Thriller",113 min,$25.54M,"1,277,160",8.4
Back to the Future,(1985),Robert Zemeckis,"Adventure, Comedy, Sci-Fi",116 min,$210.61M,"1,253,600",8.5
Titanic,(1997),James Cameron,"Drama, Romance",194 min,$659.33M,"1,238,706",7.9
Goodfellas,(1990),Martin Scorsese,"Biography, Crime, Drama",145 min,$46.84M,"1,205,146",8.7
Léon: The Professional,(1994),Luc Besson,"Action, Crime, Drama",110 min,$19.50M,"1,200,895",8.5
American Beauty,(1999),Sam Mendes,Drama,122 min,$130.10M,"1,180,562",8.3
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),Gore Verbinski,"Action, Adventure, Fantasy",143 min,$305.41M,"1,165,671",8.1
WALL·E,(2008),Andrew Stanton,"Animation, Adventure, Family",98 min,$223.81M,"1,155,706",8.4
American History X,(1998),Tony Kaye,"Crime, Drama",119 min,$6.72M,"1,151,798",8.5
Kill Bill: Vol. 1,(2003),Quentin Tarantino,"Action, Crime, Thriller",111 min,$70.10M,"1,150,783",8.2
V for Vendetta,(2005),James McTeigue,"Action, Drama, Sci-Fi",132 min,$70.51M,"1,148,275",8.2
Terminator 2: Judgment Day,(1991),James Cameron,"Action, Sci-Fi",137 min,$204.84M,"1,134,196",8.6
The Truman Show,(1998),Peter Weir,"Comedy, Drama",103 min,$125.62M,"1,133,538",8.2
The Usual Suspects,(1995),Bryan Singer,"Crime, Drama, Mystery",106 min,$23.34M,"1,112,651",8.5
The Lion King,(1994),Roger Allers,"Animation, Adventure, Drama",88 min,$422.78M,"1,097,348",8.5
Iron Man,(2008),Jon Favreau,"Action, Adventure, Sci-Fi",126 min,$318.41M,"1,091,799",7.9
Star Wars: Episode VI - Return of the Jedi,(1983),Richard Marquand,"Action, Adventure, Fantasy",131 min,$309.13M,"1,086,935",8.3
Up,(2009),Pete Docter,"Animation, Adventure, Comedy",96 min,$293.00M,"1,082,006",8.3
Finding Nemo,(2003),Andrew Stanton,"Animation, Adventure, Comedy",100 min,$380.84M,"1,076,661",8.2
Braveheart,(1995),Mel Gibson,"Biography, Drama, History",178 min,$75.60M,"1,062,905",8.3
The Shining,(1980),Stanley Kubrick,"Drama, Horror",146 min,$44.02M,"1,060,699",8.4
